CustomerID,Lookalikes
C0001,"[('C0099', 1.0000000000000002), ('C0091', 1.0000000000000002), ('C0163', 1.0000000000000002)]"
C0002,"[('C0005', 1.0000000000000002), ('C0084', 1.0000000000000002), ('C0007', 1.0000000000000002)]"
C0003,"[('C0099', 1.0000000000000002), ('C0091', 1.0000000000000002), ('C0163', 1.0000000000000002)]"
C0004,"[('C0099', 1.0000000000000002), ('C0091', 1.0000000000000002), ('C0163', 1.0000000000000002)]"
C0005,"[('C0005', 1.0000000000000002), ('C0084', 1.0000000000000002), ('C0007', 1.0000000000000002)]"
C0006,"[('C0099', 1.0000000000000002), ('C0091', 1.0000000000000002), ('C0163', 1.0000000000000002)]"
C0007,"[('C0005', 1.0000000000000002), ('C0084', 1.0000000000000002), ('C0007', 1.0000000000000002)]"
C0008,"[('C0117', 1.0000000000000002), ('C0189', 1.0000000000000002), ('C0047', 1.0000000000000002)]"
C0009,"[('C0103', 1.0000000000000002), ('C0196', 1.0000000000000002), ('C0063', 1.0000000000000002)]"
C0010,"[('C0103', 1.0000000000000002), ('C0196', 1.0000000000000002), ('C0063', 1.0000000000000002)]"
C0011,"[('C0099', 1.0000000000000002), ('C0091', 1.0000000000000002), ('C0163', 1.0000000000000002)]"
C0012,"[('C0099', 1.0000000000000002), ('C0091', 1.0000000000000002), ('C0163', 1.0000000000000002)]"
C0013,"[('C0099', 1.0000000000000002), ('C0091', 1.0000000000000002), ('C0163', 1.0000000000000002)]"
C0014,"[('C0103', 1.0000000000000002), ('C0196', 1.0000000000000002), ('C0063', 1.0000000000000002)]"
C0015,"[('C0117', 1.0000000000000002), ('C0189', 1.0000000000000002), ('C0047', 1.0000000000000002)]"
C0016,"[('C0117', 1.0000000000000002), ('C0189', 1.0000000000000002), ('C0047', 1.0000000000000002)]"
C0017,"[('C0103', 1.0000000000000002), ('C0196', 1.0000000000000002), ('C0063', 1.0000000000000002)]"
C0018,"[('C0117', 1.0000000000000002), ('C0189', 1.0000000000000002), ('C0047', 1.0000000000000002)]"
C0019,"[('C0103', 1.0000000000000002), ('C0196', 1.0000000000000002), ('C0063', 1.0000000000000002)]"
C0020,"[('C0117', 1.0000000000000002), ('C0189', 1.0000000000000002), ('C0047', 1.0000000000000002)]"
